epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2178.75,1.44244,0.85657,0.93504,0.8936,0.8756,0.90166,0.55659,1.26286,0.70047,0.8829,0.0700302,0.00332998,0.00332998
2,3167.15,1.25778,0.61186,0.87927,0.90291,0.87861,0.90349,0.57765,1.21532,0.70474,0.87518,0.0395227,0.00615588,0.00615588
3,4457.96,1.22063,0.58584,0.87283,0.90581,0.86808,0.90254,0.57709,1.19581,0.69807,0.87505,0.00850758,0.00847408,0.00847408
4,5990.92,1.13526,0.54676,0.86588,0.88157,0.86314,0.89076,0.57161,1.20054,0.71183,0.86856,0.00771538,0.00771538,0.00771538
5,7291.36,1.06028,0.5059,0.85385,0.88337,0.86598,0.88192,0.56128,1.20965,0.7032,0.8739,0.00695385,0.00695385,0.00695385
6,8251.67,1.01164,0.47947,0.84491,0.89084,0.8643,0.89859,0.6001,1.1579,0.67307,0.86288,0.00619231,0.00619231,0.00619231
7,9836.23,0.97591,0.4622,0.8376,0.85882,0.84115,0.8881,0.59518,1.14087,0.73471,0.86079,0.00543077,0.00543077,0.00543077
8,11656.8,0.94441,0.44297,0.83263,0.88526,0.88586,0.90026,0.60928,1.10861,0.64854,0.8523,0.00466923,0.00466923,0.00466923
9,13395.2,0.91281,0.42673,0.82761,0.9031,0.88473,0.90742,0.61752,1.1097,0.62428,0.85342,0.00390769,0.00390769,0.00390769
10,14933.3,0.8854,0.4108,0.82479,0.90928,0.88098,0.90516,0.60669,1.13353,0.62706,0.85865,0.00314615,0.00314615,0.00314615
11,16338.5,0.863,0.39717,0.8207,0.90255,0.88316,0.9019,0.61082,1.10109,0.62332,0.85055,0.00238462,0.00238462,0.00238462
12,18214.1,0.84158,0.38591,0.81741,0.89366,0.8923,0.88723,0.61052,1.09099,0.62267,0.8495,0.00162308,0.00162308,0.00162308
13,19703.6,0.81907,0.37291,0.8143,0.89416,0.88989,0.90143,0.62325,1.08714,0.62633,0.84822,0.000861538,0.000861538,0.000861538
