epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,841.133,1.91389,1.14566,1.34353,0.71887,0.37524,0.4406,0.22081,1.79293,0.89246,1.27292,0.00333156,0.00333156,0.00333156
2,1852.35,1.77662,0.96197,1.2255,0.74351,0.38663,0.44867,0.22718,1.77486,0.90351,1.27347,0.00659891,0.00659891,0.00659891
3,2920.13,1.8041,0.98469,1.22994,0.7178,0.38837,0.45098,0.22614,1.80455,0.90767,1.2895,0.00980026,0.00980026,0.00980026
4,3907.06,1.81379,0.99399,1.23835,0.73462,0.39619,0.46339,0.23488,1.7831,0.90059,1.28203,0.009703,0.009703,0.009703
5,4889.1,1.77271,0.96277,1.22411,0.74094,0.40295,0.47346,0.24452,1.74343,0.86954,1.26181,0.009604,0.009604,0.009604
6,5938.55,1.74352,0.9441,1.21289,0.75237,0.40984,0.48159,0.25056,1.72482,0.85809,1.26343,0.009505,0.009505,0.009505
7,6912.9,1.71947,0.92665,1.20535,0.74659,0.41732,0.49389,0.25582,1.7211,0.84487,1.26793,0.009406,0.009406,0.009406
8,7964.16,1.7026,0.91605,1.19749,0.75447,0.42102,0.49644,0.25904,1.70557,0.83502,1.24769,0.009307,0.009307,0.009307
9,9017.31,1.68737,0.90196,1.18942,0.76934,0.41992,0.49913,0.26263,1.68366,0.83025,1.26192,0.009208,0.009208,0.009208
10,10065.8,1.67039,0.89319,1.18434,0.76472,0.42371,0.50476,0.26608,1.68687,0.81565,1.2538,0.009109,0.009109,0.009109
11,11114.1,1.65772,0.88238,1.18083,0.76967,0.43059,0.51122,0.27123,1.66557,0.80552,1.25316,0.00901,0.00901,0.00901
12,12185.8,1.65155,0.87907,1.17781,0.77904,0.42968,0.51165,0.27499,1.64865,0.80449,1.2395,0.008911,0.008911,0.008911
13,13252.1,1.63974,0.87,1.1743,0.77602,0.42903,0.50882,0.27218,1.64467,0.79833,1.24634,0.008812,0.008812,0.008812
14,14316.3,1.62841,0.86492,1.16996,0.77566,0.43267,0.51685,0.27828,1.64075,0.78546,1.22457,0.008713,0.008713,0.008713
15,15374.2,1.62401,0.85663,1.16386,0.78276,0.43465,0.52029,0.27974,1.63166,0.78236,1.24318,0.008614,0.008614,0.008614
16,16430.5,1.62074,0.8563,1.16371,0.77938,0.4375,0.51856,0.27954,1.62633,0.78657,1.23301,0.008515,0.008515,0.008515
17,17486.9,1.61051,0.85081,1.16147,0.77956,0.43899,0.52529,0.28392,1.62171,0.77919,1.22477,0.008416,0.008416,0.008416
18,18547.4,1.60599,0.84636,1.15914,0.78632,0.43881,0.52516,0.28582,1.61355,0.76938,1.22902,0.008317,0.008317,0.008317
